Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating,Pendapatan
seblak jadul Samiraos  sambel Hedjo,18750,Jajanan Hits (JS),Tangerang Selatan,12.0,5.0,225000.0
Seblak Instan Komplit Bumbu Basah,9859,Eatbam store,Jakarta Timur,70.0,4.7,690130.0
(PROMO MURAH) Seblak instan jajanan khas bandung by karoppotta,8380,karoppotta official,Makassar,100.0,4.9,838000.0
Kylafood Seblak Mie Baso,24750,kylafood,Bandung,4000.0,4.9,99000000.0
SEBLAK COBEK VIRAL ALA RAFAEL DIJAMIN ENAK,6000,Uai Food,Surabaya,90.0,4.3,540000.0
Sajodo Snack - Seblak dan Keju Aroma,18500,LAPAK MILEA,Surabaya,10.0,4.0,185000.0
MASJAY Seblak Bumbu Membara Instant - No.1 Street Food Bandung,19000,Lidigeli,Kab. Garut,250.0,4.9,4750000.0
"Toping Seblak Baso Aci PAKET MIX 100pcs Cuanki Lidah, Siomay dan Baso",31000,gaiagarut,Kab. Garut,500.0,4.8,15500000.0
KERUPUK SEBLAK MENTAH 1KG WARNA WARNI,26500,BociKakang,Jakarta Selatan,500.0,5.0,13250000.0
BUMBU BASO ACI SEBLAK 100gr,12000,jajanangarut19,Jakarta Selatan,250.0,4.9,3000000.0
Si Bumbu Seblak 15gr,2000,JessicaQuinn,Bandung,100.0,5.0,200000.0
SEBLAK INSTAN SIAP SAJI,15897,nyemilsaji,Kab. Bandung,1000.0,4.8,15897000.0
Batagor Lidah Renyah Pelengkap Seblak Baso Aci atau Cuanki,15900,afcbandung,Bandung,100.0,4.9,1590000.0
"Kylafood Paket (Seblak cup, Seblak rempah, Basreng pedas, Basreng ori)",49140,kylafood,Bandung,16.0,4.7,786240.0
YIMS seblak instant box termurah teh kerupuk seblak pedas khas garut,8500,Yimshop,Semarang,70.0,4.6,595000.0
Kerupuk Seblak Tatangga Mamang Rafael Pedas Kencur Daun Jeruk 500gr,29511,Cemilan Kang Asep,Kab. Bandung,40.0,5.0,1180440.0
"keripik beling / kaca 1 kg. bumbu seblak daun jeruk enak, gurih, pedas",44999,aghniya,Tangerang Selatan,250.0,4.8,11249750.0
seblak frozen,11000,pelangi girls naget,Jakarta Timur,2000.0,4.9,22000000.0
cuanki lidah 150 pcs toping seblak baso aci,35111,CUANKI CULAMETAN,Kab. Garut,500.0,4.9,17555500.0
SamiRaos Baso Aci Geprek Tulang Rangu Seblak Baso Urat Yamin Noodle,23950,a grow exia (store),Kab. Bantul,30.0,5.0,718500.0
PAMET HEMAT 4 SEBLAK BANG SATRIA KEMASAN PREMIUM,100000,Pusat Pajamas Tasik,Tasikmalaya,,,
KERUPUK SEBLAK RAFAEL PEDAS DAUN JERUK 250GRAM SNACK KILOAN,15000,ajs(ale jaya snack),Jakarta Utara,30.0,4.8,450000.0
Gelifood Combo 3pcs Seblak Instan Kerupuk Mawar Kencur Pedas Rafael,44000,Lidigeli,Kab. Garut,100.0,4.9,4400000.0
Kylafood Seblak Original Isi 10 pcs,187050,kylafood,Bandung,30.0,,5611500.0
Kylafood Seblak Kwetiaw play,21150,kylafood,Bandung,500.0,4.9,10575000.0
Seblak beton extra pedas daun jeruk bumbu berlimpah / kemasan 500gr,24000,Seblak Guludug Bandung,Kab. Bandung,14.0,5.0,336000.0
seblak instan isi 250g / seblak bondol / seblak pedas / kuliner bondol,17999,KULINER KHAS SUKABUMI,Kab. Sukabumi,100.0,5.0,1799900.0
MASJAY Combo 3pcs Seblak Bandung Instant Bumbu Pedas Membara,44000,Lidigeli,Kab. Garut,50.0,4.9,2200000.0
GRATIS KARDUS CUANKI MIX MURAH - BISA COD - TOPING SEBLAK - BASO ACI,30000,Distributor Cuanki dan Seblak,Kab. Bekasi,50.0,4.9,1500000.0
"siomay mini kering 250 gr enak renyah untuk basoaci,seblak,cemilan dll",9999,aghniya,Tangerang Selatan,100.0,4.8,999900.0
"seblak ceker 500 gr pedas daun jeruk, gurih,cemilan bikin nagih",17499,aghniya,Tangerang Selatan,90.0,4.9,1574910.0
cuanki lidah khas garut 50 pcs enak untuk baso aci dan seblak ( BRY ),15999,aghniya,Tangerang Selatan,500.0,4.9,7999500.0
"baso aci boci instan maci eco ayam, keju, seblak",9799,snackbox88,Bekasi,250.0,5.0,2449750.0
Kerupuk Kering 1KG Bahan Seblak Variasi Lengkap by GG,20999,gaiagarut,Kab. Garut,13.0,5.0,272987.0
Tempat Toping seblak 12 ruang 60*30*30cm,600000,Fajar Akrilik Display,Tangerang,1.0,,600000.0
Seblak instan yoi enak dan kenyang,7500,SeblakYoi,Bekasi,500.0,4.9,3750000.0
pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,32999,CUANKI CULAMETAN,Kab. Garut,100.0,4.9,3299900.0
Kylafood Seblak Rempah Autentik Isi (24pcs),294120,kylafood,Bandung,14.0,5.0,4117680.0
cuanki tahu gepeng isi 50 pcs toping seblak baso aci,19500,CUANKI CULAMETAN,Kab. Garut,100.0,4.9,1950000.0
Baso urat djuara sami raos/Baso Aci Urat /Seblak,28000,Snack Zone Official,Jakarta Selatan,19.0,5.0,532000.0
Pasar Keripik Kerupuk Seblak Mawar Pedas size Kiloan,65000,Pasar Keripik Bandung,Bandung,11.0,4.9,715000.0
BUMBU BASO ACI SEBLAK 100gr,12000,jajanangarut19,Jakarta Selatan,250.0,4.9,3000000.0
cuanki lidah asli garut isi 150 pcs,32500,kira3arut,Kab. Garut,10000.0,4.9,325000000.0
Mie Seblak Geprek SamiRaos Original | Seblak Mie Instat Pedas,20000,Lemari Wanita,Jakarta Timur,13.0,5.0,260000.0
Mie Seblak Geprek Sami Raos Khas Garut Seblak Instant Kekinian 160gr,18900,Foodstocks,Jakarta Selatan,100.0,5.0,1890000.0
cuanki tahu panjang isi 150 pcs | toping seblak baso aci,34999,CUANKI CULAMETAN,Kab. Garut,40.0,5.0,1399960.0
seblak kering bumbu kacang sebring,12500,Denissa snack,Bandung,8.0,5.0,100000.0
Maicih Seblak Keju,12999,Gerai Snack Official Shop,Kab. Tangerang,500.0,4.7,6499500.0
Cireng Kuah Seblak Donatmieku (Recommended),22000,marrystore625,Jakarta Barat,9.0,5.0,198000.0
paket hemat 4 seblak aceng 4 cuanki instan dan 4 baso aci,62000,cemilan Bandungstore,Cimahi,9.0,5.0,558000.0
"seblak ceker 250 gr pedas daun jeruk, gurih,cemilan bikin nagih",9999,aghniya,Tangerang Selatan,90.0,4.8,899910.0
Seblak Kering Bangsatria 170gr (Organik Food Snack Pedas),21000,Foodstocks,Jakarta Selatan,,,
siomay kering 1kg isi 150 pcs toping seblak baso aci,34999,CUANKI CULAMETAN,Kab. Garut,80.0,4.9,2799920.0
Soun Seblak Geprek SAMI RAOS Khas Garut - Soun Seblak,18900,Foodstocks,Jakarta Selatan,80.0,4.9,1512000.0
SNACK SEBLAK RAFAEL RASA PEDAS,75000,Glorius Mart,Kab. Magetan,,,
"cuanki tahu stik tahu panjang kering, isi 50 topping baso aci seblak",11999,Culametan Food,Kab. Garut,4.0,4.7,47996.0
SEBLAK JUMBO + SOSIS INSTANT,7450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,1000.0,4.8,7450000.0
CIKEMAM - PAKET BUNDLING SEBLAK (3 PCS),37000,CIKEMAM,Cimahi,50.0,5.0,1850000.0
Kylafood Mix Pentol Kuah dan Seblak Original,42500,kylafood,Bandung,60.0,4.9,2550000.0
seblak rafael / seblak coet / seblak cocol,7500,babykhai,Kab. Bekasi,250.0,4.8,1875000.0
kerupuk seblak polos pedas 250gr jajanan cemilan sneck makanan keripik,11000,pelangi khatulistiwa 2,Surabaya,60.0,4.9,660000.0
cuanki lidah isi 50 topping baso aci dan seblak,11999,Culametan Food,Kab. Garut,40.0,4.9,479960.0
Kylafood Paket 2 Seblak Original 3 Batagor Kuah,99000,kylafood,Bandung,250.0,4.9,24750000.0
akrilik tempat toping seblak,630000,Fajar Akrilik Display,Tangerang,1.0,,630000.0
[ roemah_koenyaheun ] kerupuk mentah kerupuk seblak serba 5000,5000,roemah_koenyaheun,Bandung,5.0,,25000.0
Kerupuk Seblak Kencur / Seblak Jablay Viral @100-500gr,7142,Toko Camilan Anyar,Surabaya,100.0,4.9,714200.0
cuanki tahu panjang atau stik isi 50 pcs toping seblak baso aci,12999,CUANKI CULAMETAN,Kab. Garut,100.0,4.8,1299900.0
cemilan keripik tahu,36500,oke snack,Jakarta Selatan,250.0,4.9,9125000.0
Seblak Nyai Mercon,24700,Foodstocks,Jakarta Selatan,8.0,5.0,197600.0
Seblak Pedas Kicimpring Iyagasih,15000,Gerai Singawada,Kab. Majalengka,16.0,5.0,240000.0
"pangsit segitiga, cipet isi 20 pcs topping baso aci dan seblak",6999,Culametan Food,Kab. Garut,11.0,5.0,76989.0
PAKET MIX HEMAT 25 BASO ACI/BOCI/SEBLAK/CUANKI,47000,ArfaOnlineShop,Tangerang,80.0,4.9,3760000.0
siomay mini kering 1kg toping seblak baso aci,25999,CUANKI CULAMETAN,Kab. Garut,250.0,4.9,6499750.0
cemilan seblak ceker snack,9500,Arc_Rudy,Kab. Lebak,2.0,5.0,19000.0
150pcs LIDAH Cuanki Batagor bahan Pelengkap Boci seblak dan cuanki,39479,lahawelah,Kab. Garut,100.0,4.9,3947900.0
Paket Isian Seblak,25000,Mantra Khatulistiwa Depok,Depok,1.0,5.0,25000.0
Seblak Rempah Instan Maknyoss,25000,BOCI MAKNYOSS OFFICIAL,Kab. Batang,1.0,,25000.0
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,15000,toko bemo,Jakarta Timur,500.0,4.9,7500000.0
"Paket Happy (Seblak Original, Batagor Kuah, Bacil)",59000,kylafood,Bandung,500.0,4.9,29500000.0
seblak kerupuk kering pedas jeruk isi 500 gram seblak kemplang,25000,Tiga putri77,Kab. Bandung,100.0,4.9,2500000.0
COD 1KG CIMOL SNACK PEDES SEBLAK VIRAL CEMILAN LEBARAN IDUK FITRI,18210,Grosir Besar Kalimantan,Banjarbaru,8.0,5.0,145680.0
Seblak Mommy,13900,Gerai Snack Official Shop,Kab. Tangerang,2000.0,4.6,27800000.0
SEBLAK CILOK (SAMBAL CIKUR JERUK),14999,Seblak Mang Muss,Tasikmalaya,100.0,4.8,1499900.0
cuanki lidah 150 pcs toping seblak baso aci,35111,CUANKI CULAMETAN,Kab. Garut,500.0,4.9,17555500.0
Cimol kering pedas daun jeruk 1 kg /cimol pedas 1 kg,51775,Adila_Putri_Snack,Kab.Ciamis,30.0,4.7,1553250.0
Keripik Singkong Kalimantan,21000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000.0,4.8,21000000.0
Seblak Soaci,14000,Pedas Gilaa,Surabaya,250.0,4.8,3500000.0
Paket Hemat 10 bks Seblak Aceng,55000,cemilan Bandungstore,Cimahi,1.0,,55000.0
SEBLAK INSTAN ORI/SEBLAK INSTAN KERUPUK/SEBLAK INSTAN MURAH,6197,dakar_ofc,Kab. Mojokerto,250.0,4.4,1549250.0
Seblak Blak mie,12000,ken-olshop,Bekasi,250.0,5.0,3000000.0
Cuanki / Cuankie Lidah Topping Baso Aci / Seblak Isi 500 Pcs,100000,Kerabat Official Store,Kab. Tasikmalaya,50.0,4.9,5000000.0
kerupuk seblak kering pedas 1kg,34950,seblak_joy,Kab. Bandung,100.0,4.9,3495000.0
Kerupuk Seblak Mentah 1kg - Krupuk Oren Matahari Pagi MP - Kemplang,19000,Cuanki_Bandung,Kab. Bandung,100.0,5.0,1900000.0
YIMS seblak instant pedas napol termurah khas garut kerupuk seblak teh,5500,Yimshop,Semarang,250.0,4.7,1375000.0
[ 500gr ] Kerupuk Mentah / Krecek Bawang Untuk Bahan Seblak,10500,Kerupuk Ikan Udang,Kediri,40.0,4.9,420000.0
kerupuk seblak polos pedas 500gr jajanan cemilan sneck makanan keripik,20000,pelangi khatulistiwa 2,Surabaya,70.0,4.9,1400000.0
Kylafood paket 2 Seblak cup + 2 Seblak rempah autentik,48240,kylafood,Bandung,15.0,4.9,723600.0
Yasnack Kerupuk Seblak Rafael Pedas Jeruk Renyah 500 gr,30000,YasnackID,Bandung,30.0,4.7,900000.0
Paket Hemat 10 BKS Seblak Instan Original HPSFOOD,36000,HPSFoodSby,Surabaya,1.0,,36000.0
"Keripik Maicih - Lv 3, Lv 5, Seblak Ori, Gurilem",17000,I Love Snack Indonesia,Jakarta Barat,70.0,5.0,1190000.0
CAMILAN SEBLAK PEDAS 250GR JAJANAN OLEH-OLEH SNACK KILOAN CAMILAN KILO,12500,LARISSA SNACK STORE,Semarang,100.0,4.9,1250000.0
Krupuk Seblak Mawar 500GR Kering Pedas Kerupuk Sebring Rafael Viral,14000,Oleh2 Maju Mulya Solo,Kab. Sukoharjo,25.0,4.6,350000.0
KERUPUK SEBLAK MINI KENCUR JABLAY BANTET PEDAS 500GRAM KILOAN,24000,ajs(ale jaya snack),Jakarta Utara,50.0,4.9,1200000.0
seblak instan hemat,6500,Suncity.,Kab. Tangerang,1000.0,4.8,6500000.0
kerupuk seblak kemasan pouch 250 gr,9000,dvn makaroni,Tasikmalaya,20.0,5.0,180000.0
Seblak Ceker pedas ( 1 pak isi 20 pcs 200g ),9300,Eve'O'Mall,Kab. Tangerang,27.0,5.0,251100.0
"keripik beling/kaca 1/2 kg. bumbu seblak daun jeruk enak, gurih, pedas",25999,aghniya,Tangerang Selatan,250.0,4.8,6499750.0
Yasnack Kerupuk Seblak Rafael Pedas Cikruh Gurih 500 gr,30000,YasnackID,Bandung,50.0,4.9,1500000.0
SEBLAK instan Murah ENak Lengkap,8000,kakai_store10,Kab. Bantul,26.0,5.0,208000.0
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN WARNA-WARNI,10899,Simshop_,Cimahi,5.0,5.0,54495.0
Cuankie Lidah topping baso aci / seblak,2500,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,7000.0,4.8,17500000.0
PROMO !!!! Seblak Instan Beli 20 free 1 Murah Enak,4280,ivy's-kitchen,Kab. Cirebon,750.0,,3210000.0
"Seblak Instan Lengkap Cemilan Enak, Oleh Oleh Garut",5500,Endo Shop ID,Kab. Garut,250.0,4.9,1375000.0
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN BASRENG 250 GRAM,18999,Simshop_,Cimahi,12.0,5.0,227988.0
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,16000,DUO BOCIL SNACK,Depok,250.0,4.9,4000000.0
Bakso Aci Seblak Mie instant baso kekinian halal murah enak,6999,Maya Light Electro,Tangerang,40.0,4.7,279960.0
Seblak Putih Odjolali Snack,11000,Odjolali Snack,Bandung,100.0,5.0,1100000.0
Batagor Kering Mini Bisa untuk Seblak Dan Campuran Baso Aci,7000,RZTSHOP86,Bandung,15.0,4.9,105000.0
[READY MEDAN] Extra Topping Baso Aci Cuanki Seblak - Tahu Siomay Mini,4000,CemilanPuas,Medan,250.0,4.5,1000000.0
"Seblak Bantat Boboko Pedas Daun Jeruk Level 7,8,9 Netto 200g",18700,Gerai Snack Official Shop,Kab. Tangerang,100.0,5.0,1870000.0
SEBLAK BASRENG KOIN PEDAS 1KG,43950,Ngaladastore26,Kab. Subang,3.0,,131850.0
Comring bawang 1 kg /gemblong 1 kg,39900,Adila_Putri_Snack,Kab.Ciamis,22.0,4.9,877800.0
Keripik Tempe Oven Bu Nanik / Tempe Krispy Bu Nanik,30500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,4000.0,4.7,122000000.0
cilok goang kuah,5700,Berkah Food Bandung,Cimahi,4000.0,4.9,22800000.0
Sriping Keripik Pisang Madu,25000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,750.0,4.8,18750000.0
Cimol Bojot Pedas Cilok Goreng Bumbu Pedas Bubuk Cimol Cikruh Bawang,6652,Berkah Food Bandung,Cimahi,1000.0,4.9,6652000.0
Keripik Singkong Balado Christine Hakim,36000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,2000.0,4.9,72000000.0
Baso Aci Bapper Tulang Rangu Original Asli Bandung 220gr,25800,Foodstocks,Jakarta Selatan,1000.0,5.0,25800000.0
Keripik Tempe Mels Kitchen,25000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000.0,4.9,25000000.0
Emping Balado 130g,13500,oke snack,Jakarta Selatan,100.0,4.9,1350000.0
Keripik Ubi Ungu Sari Roso,26000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250.0,5.0,6500000.0
sebring/seblak kering elod pedas daun jeruk/original kriuk 250g.,15900,Syahla_Shop16,Kab. Bandung,2.0,5.0,31800.0
"keripik beling / kaca, bumbu seblak daun jeruk enak, gurih, pedas",14999,aghniya,Tangerang Selatan,500.0,4.7,7499500.0
seblak Abah aceng paling top pedas mantul,6000,cemilan Bandungstore,Cimahi,70.0,5.0,420000.0
Ready seblak basreng pedas daun jeruk 1kg basreng bandung renyah gurih,50000,seblak bandung99,Kab. Bandung,1000.0,4.9,50000000.0
seblak kering kerupuk campur bumbu kacang,15000,abqorycandy,Kab. Bandung,4.0,5.0,60000.0
Baso Aci Bapper Tulang Rangu Sambel Mercon Asli Bandung 220gr,25800,Foodstocks,Jakarta Selatan,500.0,4.9,12900000.0
Kerupuk Kemplang Palembang Cap Satu Ikan,19000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000.0,4.9,19000000.0
jagung marning 250 gr,16000,oke snack,Jakarta Selatan,500.0,4.9,8000000.0
Kerupuk Bangka / Kerupuk Ikan Bangka,28000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250.0,4.7,7000000.0
Bumbu Rujak Honje Legend Ibu Iyoy Kalektoran Tasikmalaya,45000,Rujakhonjekalektoran,Tasikmalaya,4.0,5.0,180000.0
Krupuk Seblak Mawar 100GR Kering Pedas Kerupuk Sebring Rafael Viral,8000,Oleh2 Maju Mulya Solo,Kab. Sukoharjo,12.0,5.0,96000.0
SEBLAK GEPREK SAMIRAOS / SEBLAK MIE / SEBLAK SOUN / SEBLAK INSTAN,17850,TOBELO SHOP,Tangerang,100.0,4.8,1785000.0
krupuk mentah / seblak / bawang / buryam / lotek / ketoprak 250gr,5400,Paulus Plastik,Kab. Bantul,250.0,5.0,1350000.0
sebring seblak kering bumbu kacang cikruh 1kg,15000,Baso Aci Athaya,Kab. Bandung,17.0,4.3,255000.0
bok akrilik seblak prasmanan,3000000,neonbox bogor,Bogor,,,
KRUPUK SEBLAK BANTET KENCUR 250gr / SNACK KILOAN MURAH / SEBLAK CIKUR,8999,almasnack,Kab. Bekasi,70.0,4.9,629930.0
"seblak bintang,cemilan instan,siap makan,enak gurih,dan lezat",5000,anugrah seblak,Kab. Bandung,500.0,4.7,2500000.0
Seblak Kuah Mamang Rafael ORIGINAL HALAL VIRALLLL BARU DARI MAMANG RAFAEL,45000,Beauty DELUXE,Jakarta Barat,2.0,5.0,90000.0
kerupuk seblak kering pedas 1 kg keripik hot spicy camilan kekinian,41000,JAGO TOK PETOK,Surabaya,100.0,4.9,4100000.0
Kerupuk Merah Seblak 250gr BANDUNG,4750,yohangunawan94,Bandung,1000.0,5.0,4750000.0
Peyek Bu Nanik / Kerupuk Peyek khas Madiun,24500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000.0,4.7,24500000.0
Baso Aci Bapper Tulang Rangu Original Asli Bandung 220gr 10 Pcs,290000,Foodstocks,Jakarta Selatan,7.0,,2030000.0
Peyek Bayam Tridara Snack,16500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,750.0,4.7,12375000.0
Cilokba Cilok Bapper Rasa Sambal Daun Jeruk,18270,Foodstocks,Jakarta Selatan,100.0,4.8,1827000.0
Keripik Singkong Keju Sari Roso,26000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,250.0,4.8,6500000.0
Piksus Ikan Kakap dan Seblak Usus Dua Putra Kemasan gope,8800,BAGEAJAYA FOOD,Kab.Ciamis,7.0,5.0,61600.0
foam seblak perball,31800,Laris Jaya Plastik,Bandung,10.0,5.0,318000.0
"KHUSUS GROSIRAN - LIDAH cuanki isi 300pcs Toping Baso Aci, Seblak khas",79999,gaiagarut,Kab. Garut,90.0,5.0,7199910.0
Cuanki Lidah Kering Toping Seblak Baso Sapi,5500,Pasar Cikurubuk Online,Tasikmalaya,14.0,,77000.0
CIKEMAM- SEBLAK SEUHAH BANDUNG PEDAS HALAL,14900,CIKEMAM,Cimahi,90.0,4.9,1341000.0
200gr SEBLAK BINTANG Pedas Jeruk by Ratu Kriuk,13000,AIRA O'SHOP,Tasikmalaya,90.0,5.0,1170000.0
Pasar Keripik Cimol Seblak Pedas size Kecil 130g,12500,Pasar Keripik Bandung,Bandung,500.0,4.9,6250000.0
BASRENG SEBLAK 1/2 KG BUMBU ALAMI,28999,Seblak Mang Muss,Tasikmalaya,500.0,4.9,14499500.0
BASRENG & SEBLAK KERING 366 PEDAS MANTAP,13000,Warung Entong,Bandar Lampung,23.0,5.0,299000.0
Kylafood Seblak Rempah Autentik,13000,Kylafood Jakarta,Jakarta Selatan,250.0,5.0,3250000.0
Peyek Lin's / Peyek Kacang Lins,7500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,5000.0,4.8,37500000.0
Snack Mie Goreng Medan / Kerupuk Mie Goreng Medan,14500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,500.0,4.8,7250000.0
Kerupuk Puli Gendar cap Telor Walet khas Madiun,22000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000.0,4.9,22000000.0
Kerupuk Kampung / Kerupuk Kampoeng / Kerupuk Bawang,18000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,750.0,4.9,13500000.0
Keripik Kentang Pedas Tridara Snack,16500,Pisang Goreng Madu Bu Nanik,Jakarta Barat,500.0,4.9,8250000.0
cuanki tahu kering seblak atau batagor kering isi 150 pcs,34999,CUANKI CULAMETAN,Kab. Garut,100.0,4.8,3499900.0
Somay mini Gurilem batagor mini toping seblak baso Aci cuanki 1kg,28500,Distributor Cuanki dan Seblak,Kab. Bekasi,250.0,4.8,7125000.0
Kerupuk Seblak / Seblak / Kering Pedas /,19012,Anggris store,Kab. Bogor,80.0,4.9,1520960.0
READY MEDAN SEBLAK INSTANT BANDUNG,7500,Chsnackmedan,Medan,90.0,,675000.0
Seblak Instan extraHot,4500,sentosa jaya cuanki,Kab. Garut,5000.0,4.9,22500000.0
"50 Pcs CUANKI SIOMAY Kering Topping Pelengkap Baso Aci, Seblak",13500,Endo Shop ID,Kab. Garut,50.0,4.9,675000.0
Kerupuk seblak beton cikruh pedas daun jeruk / seblak beton bantat,12113,cemilan ti lembur,Bandung,26.0,5.0,314938.0
seblak instan jawara pedas sehot bandung,13500,cemilan Bandungstore,Cimahi,70.0,5.0,945000.0
"SIBUMBU untuk goreng nasi, ikan, ayam, tempe, sop sayur, lodeh, seblak",2222,deposusuofficial,Jakarta Barat,15.0,5.0,33330.0
seblak rafael daun jeruk,13000,SnackGrosirPontianak,Pontianak,7.0,5.0,91000.0
Cuanki Lidah Jumbo Isi 20pcs Khas Garut ( Topping Baso Aci / Seblak ),8750,Bara Snack Kediri 1,Kediri,5.0,5.0,43750.0
Krupuk Stik Seblak /pedas 1kg,42000,Hosana Snack,Bogor,70.0,4.9,2940000.0
pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,32999,CUANKI CULAMETAN,Kab. Garut,100.0,4.9,3299900.0
seblak instan purwakarta,4500,cemilan instan purwakarta,Kab. Purwakarta,750.0,4.9,3375000.0
Paket Seblak Original Bandung - Baso Aci,8500,RZTSHOP86,Bandung,250.0,4.9,2125000.0
PAKET BUNDLING HEMAT 12  (6 pcs seblak 6pcs baso aci ) MAKANAN INSTAN,44999,gudangsnacktgr19,Kab. Tangerang,27.0,4.8,1214973.0
SEBLAK INSTAN NGABRET BANDUNG,4950,queency_crunchy,Kab. Bandung,100.0,4.8,495000.0
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg KEONG WARNA,6250,CIPTA-RASA.,Bandung,21.0,5.0,131250.0
SEBLAK ACI JAGUAR TERLEZAT BASO ACI BAKSO ACI NIKMAT BELI 5 GRATIS 1,10000,Uai Food,Surabaya,750.0,4.8,7500000.0
Seblak instant komplit,10000,frozzyoyshop,Depok,250.0,4.8,2500000.0
SEBLAK BAPPER INSTAN EXTRA HOT,15900,Ss_Frozenfood,Jakarta Timur,250.0,4.9,3975000.0
"500 pcs Cuanki Lidah Kemasan Besar Topping Baso aci, seblak, cuanki",106000,Endo Shop ID,Kab. Garut,250.0,4.9,26500000.0
SEBLAK INSTAN | BASO ACI | CUANKIE KUAH INSTAN,5500,Kairashop_id,Surabaya,60.0,,330000.0
seblak instant komplit,7599,Collection_bywinda,Bandung,100.0,4.7,759900.0
Seblak Merah Pedas Odjolali Snack,12000,Odjolali Snack,Bandung,50.0,4.9,600000.0
10 BUNGKUS SEBLAK COBEK ALA RAFAEL,55000,global cookware1,Jakarta Barat,10.0,5.0,550000.0
[250 gr] Kerupuk Seblak Pedas,11500,CamilanJati,Kab. Sidoarjo,80.0,5.0,920000.0
kerupuk seblak Beton Pedas,85000,Markas Makaroni,Kab. Bekasi,30.0,4.9,2550000.0
CUANKI/CUANKIE SIOMAY SPECIAL KHAS GARUT ISI 50 PCS BASO ACI & SEBLAK,17999,ArfaOnlineShop,Tangerang,28.0,5.0,503972.0
siomay mini kering 1kg / gurilem toping seblak baso aci cuanki,25500,CuankiCulametan,Kab. Garut,100.0,4.9,2550000.0
Seblak basreng pedas original daun jeruk stik 100gr,5000,Seblak putra bandung,Kab. Bandung,4000.0,4.8,20000000.0
KRUPUK SEBLAK KERING rasa KENCUR afif jaya cemilan,8900,afif jaya cemilan,Surabaya,50.0,4.9,445000.0
Siomay Kering Topping Baso Aci / Seblak,2500,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,3000.0,4.8,7500000.0
pilus kencur sukro cikur 250 gram toping baso aci seblak,8999,Culametan Food,Kab. Garut,15.0,4.6,134985.0
250gram kerupuk mentah seblak rafael,6000,Agenkerupuk99,Surabaya,30.0,4.8,180000.0
Kerupuk Rambak Sapi Seven Snack,15000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000.0,4.9,15000000.0
Kerupuk Keriting Palembang,28000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000.0,4.9,28000000.0
Batagor Kering Sari Roso,26000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,100.0,4.7,2600000.0
Stick / stik otak-otak Bu Nanik,10000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,750.0,4.7,7500000.0
Kerupuk Ikan Tanggiri,17000,Pisang Goreng Madu Bu Nanik,Jakarta Barat,1000.0,4.9,17000000.0
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,2000.0,4.9,34000000.0
KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,21630,Toko kue Sumber Mas,Jakarta Timur,40.0,5.0,865200.0
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,500.0,5.0,12500000.0
SEBLAK KERING PEDAS DAUN JERUK - 500 gram,17500,BociKakang,Jakarta Selatan,1000.0,4.6,17500000.0
Seblak Rafael/Seblak Coet Instan Halal,26600,Foodstocks,Jakarta Selatan,500.0,4.9,13300000.0
SEBLAK KERING 100gr DUA VARIAN RASA,4500,jajanangarut19,Jakarta Selatan,250.0,4.7,1125000.0
Sukro pilus Cikur Sari rasa 1kg - toping seblak - baso aci,35000,Distributor Cuanki dan Seblak,Kab. Bekasi,100.0,4.7,3500000.0
