Nama Produk,Harga Produk,Nama Toko,Kota Toko,Banyaknya Terjual,Rating,Pendapatan
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,2000.0,4.9,34000000.0
seblak instant sajodo snak,18950,hikmah berkah jaya,Jakarta Barat,1000.0,4.9,18950000.0
Seblak Instan Bang Satria Kemasan Premium 1 PCS,21250,Pusat Pajamas Tasik,Tasikmalaya,8.0,5.0,170000.0
seblak instant komplit bumbu cikruh bandung aufaro snack,6800,AUFARO SNACK,Kab. Bandung Barat,500.0,4.9,3400000.0
Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,14000,Distributor Cuanki dan Seblak,Kab. Bekasi,750.0,4.9,10500000.0
paket mix 12PCS boci cuanki seblak,38999,nayismail,Cimahi,50.0,4.9,1949950.0
Seblak pedas kerupuk pedas kiloan 1 kg,35000,RIKI STORE 97,Kab. Bogor,100.0,4.7,3500000.0
Makaroni bantet pedas daun jeruk 1kg makroni bantet seblak pedas gurih,14960,camilanqu_shop,Kab. Majalengka,26.0,4.7,388960.0
3 SEBLAK FREE BASO ACI,61583,Sajodo Snack & Food,Tasikmalaya,100.0,4.9,6158300.0
GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,29000,Pedas Gilaa,Surabaya,1000.0,4.9,29000000.0
Agen Seblak Mommy,9999,Kenal Jaya Bandung,Bandung,4000.0,4.9,39996000.0
S1 Seblak Instan Bang Satria Seuhah,28000,Ruth Store',Jakarta Pusat,6.0,5.0,168000.0
Cuankie Tahu Gepeng Topping Baso Aci Seblak,22499,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,100.0,4.9,2249900.0
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,62000,Sajodo Snack & Food,Tasikmalaya,100.0,5.0,6200000.0
SEBLAK INSTAN NGABRET BANDUNG - SURABAYA SEBLAK INSTAN KOMPLIT,5048,Uai Food,Surabaya,50.0,4.5,252400.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,100.0,4.9,1600000.0
Cipak Koceak Cirambay Cireng Seblak Basreng Bojot khas tasik camilan,10000,AMANA SNACK,Tangerang Selatan,100.0,4.7,1000000.0
MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,2600,NomeL Shop,Surabaya,500.0,4.8,1300000.0
KerUpuk Seblak Kerupuk Beton Pedas Daun Jeruk 250gram,15000,Mega_Snack_095,Cimahi,24.0,4.7,360000.0
Kylafood Paket (3 Seblak Original 2 Batagor kuah),95000,kylafood,Bandung,3000.0,4.9,285000000.0
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,500.0,5.0,12500000.0
TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,34999,ArfaOnlineShop,Tangerang,100.0,4.9,3499900.0
Seblak Komplit⠀⠀,5400,lisdhacollection,Kab. Garut,4000.0,4.8,21600000.0
Kerupuk seblak kering kencur 500gram /seblak kering pedas daun jeruk,28700,oyun kriukzz,Jakarta Barat,750.0,4.9,21525000.0
bumbu seblak basah instan,26666,Kickball Official,Bandung,250.0,4.7,6666500.0
Baso Aci & Seblak Home Made,5500,Rodhi snack,Kab. Nganjuk,30.0,5.0,165000.0
